Date,Sales
2024-11-01,500
2024-11-02,450
2024-11-03,600
2024-11-05,700
2024-11-07,620
2024-11-09,480
2024-11-10,500
2024-11-12,590
2024-11-14,560
2024-11-15,640
2024-11-16,590
2024-11-18,530
2024-11-19,600
2024-11-20,520
2024-11-22,580
2024-11-23,490
2024-11-24,610
2024-11-25,640
2024-11-27,570
2024-11-29,620
2024-12-01,700
2024-12-02,650
2024-12-03,580
2024-12-04,640
2024-12-06,500
2024-12-08,580
2024-12-09,530
2024-12-11,600
2024-12-12,560
2024-12-14,550
2024-12-15,630
2024-12-17,500
2024-12-19,580
2024-12-21,670
2024-12-23,600
2024-12-24,540
2024-12-26,620
2024-12-28,690
2024-12-30,550
